From src:'1'	To src:'7'
CHEMBL319354	58645
CHEMBL319354	32826
CHEMBL267894	2673
CHEMBL2107418	135321
CHEMBL1333604	90112
CHEMBL1349271	111262
CHEMBL1522053	115637
CHEMBL1494868	107156
CHEMBL85398	50992
CHEMBL280558	73171
CHEMBL1884767	81978
CHEMBL68500	37325
CHEMBL68500	37327
CHEMBL1867271	34931
CHEMBL3706502	80637
CHEMBL4126384	65660
CHEMBL150372	113542
CHEMBL37754	39234
CHEMBL261368	87641
CHEMBL459413	65783
CHEMBL463337	66708
CHEMBL12948	6863
CHEMBL205190	132267
CHEMBL2107197	135767
CHEMBL1728816	93740
CHEMBL1321943	113089
CHEMBL2062823	132635
CHEMBL263881	6605
CHEMBL2362302	120273
CHEMBL4297669	84519
CHEMBL349881	1883
CHEMBL516720	65922
CHEMBL1609187	117177
CHEMBL1373383	119890
CHEMBL305187	93829
CHEMBL447689	65903
CHEMBL3187992	92186
CHEMBL263094	78310
CHEMBL70159	64200
CHEMBL2110700	135447
CHEMBL1595398	116399
CHEMBL2143576	112588
CHEMBL620	95170
CHEMBL316040	76277
CHEMBL1539438	112737
CHEMBL1700554	134850
CHEMBL469622	65664
CHEMBL1540218	117270
CHEMBL225067	27949
CHEMBL465839	67485
CHEMBL491841	41625
CHEMBL296286	29491
CHEMBL1337164	91635
CHEMBL3392056	73074
CHEMBL3188005	128182
CHEMBL1200953	31675
CHEMBL1887272	92613
CHEMBL1927845	69728
CHEMBL194805	35092
CHEMBL350278	82279
CHEMBL1493328	116780
CHEMBL1399718	120969
CHEMBL2107826	142418
CHEMBL2106641	135375
CHEMBL444328	86565
CHEMBL225436	141701
CHEMBL1382159	115008
CHEMBL1532722	112386
CHEMBL334773	63949
CHEMBL1520836	82116
CHEMBL502620	77980
CHEMBL502620	74619
CHEMBL1616903	92771
CHEMBL295666	17092
CHEMBL295666	47291
CHEMBL1455223	109563
CHEMBL1423202	120804
CHEMBL218394	68621
CHEMBL1619669	104081
CHEMBL3990237	135878
CHEMBL1408050	114473
CHEMBL559715	17010
CHEMBL559715	57985
CHEMBL1869019	92435
CHEMBL521227	66809
CHEMBL483236	65810
CHEMBL2106250	135109
CHEMBL1472521	120438
CHEMBL3989887	61057
CHEMBL3039170	93413
CHEMBL2362170	124898
CHEMBL2104907	134865
CHEMBL519905	37573
CHEMBL196677	64122
CHEMBL18098	134864
CHEMBL1814554	68150
CHEMBL1233322	44841
CHEMBL1233322	17083
CHEMBL1895807	53581
CHEMBL85433	28281
CHEMBL2356693	95402
CHEMBL528696	116229
CHEMBL1368523	112900
CHEMBL1440799	119877
CHEMBL15063	15930
CHEMBL1742439	135308
CHEMBL368712	81095
CHEMBL973	68540
CHEMBL1386740	107574
CHEMBL38714	75632
CHEMBL1765598	67808
CHEMBL372396	15837
CHEMBL1474352	91604
CHEMBL4176158	7883
CHEMBL1627349	136972
CHEMBL1928584	69636
CHEMBL17664	147397
CHEMBL469704	145107
CHEMBL3561582	82335
CHEMBL2359168	102366
CHEMBL1207963	72310
CHEMBL1569	2619
CHEMBL510279	66332
CHEMBL2354424	112541
CHEMBL426912	70101
CHEMBL1927951	69167
CHEMBL1951048	92034
CHEMBL1306261	121890
CHEMBL2287110	139040
CHEMBL1623055	92944
CHEMBL190549	73645
CHEMBL1200907	32260
CHEMBL1801776	67354
CHEMBL2430461	80486
CHEMBL1342669	52430
CHEMBL1818101	69287
CHEMBL144651	111507
CHEMBL1866489	124305
CHEMBL564109	32183
CHEMBL1463706	122003
CHEMBL2442575	6841
CHEMBL1360024	34614
CHEMBL296830	34335
CHEMBL1463218	109675
CHEMBL455491	17221
CHEMBL2103827	31524
CHEMBL1467250	108137
CHEMBL1596409	109416
CHEMBL1341442	124772
CHEMBL1231783	156485
CHEMBL3186815	128859
CHEMBL1908076	87605
CHEMBL434864	136608
CHEMBL2357977	101751
CHEMBL486133	52646
CHEMBL462990	32164
CHEMBL307931	64307
CHEMBL455606	65680
CHEMBL1496642	108519
CHEMBL233930	30200
CHEMBL1813665	68190
CHEMBL1940605	76589
CHEMBL1256739	31868
CHEMBL214830	47131
CHEMBL2141202	100201
CHEMBL1424189	91794
CHEMBL176570	92074
CHEMBL1441156	109217
CHEMBL1610943	109228
CHEMBL1606108	122203
CHEMBL1353303	114225
CHEMBL203125	443725
CHEMBL1392055	116317
CHEMBL27077	91607
CHEMBL1201195	3489
CHEMBL1420573	107630
CHEMBL2106136	31314
CHEMBL13378	34018
CHEMBL1990189	134987
CHEMBL674	73139
CHEMBL297057	9783
CHEMBL2359930	96601
CHEMBL3638032	34307
CHEMBL738	9561
CHEMBL1794147	117250
CHEMBL1688964	90031
CHEMBL2107497	52476
CHEMBL211045	93777
CHEMBL2106961	135763
CHEMBL1105	35628
CHEMBL505	52010
CHEMBL3249973	55542
CHEMBL54572	73637
CHEMBL2159006	38994
CHEMBL3185949	18721
CHEMBL1570967	117216
CHEMBL2260151	31763
CHEMBL1221951	74824
CHEMBL1316726	30818
CHEMBL1319214	106034
CHEMBL1402403	116712
CHEMBL1689553	68377
CHEMBL3183414	151129
CHEMBL1315322	93567
CHEMBL343732	93818
CHEMBL2104556	32144
CHEMBL1568222	82367
CHEMBL1463660	107398
CHEMBL1439961	114552
CHEMBL1790041	92246
CHEMBL173521	8075
CHEMBL494856	68201
CHEMBL591521	155507
CHEMBL366603	4488
CHEMBL190461	69478
CHEMBL20767	125204
CHEMBL1482274	112875
CHEMBL2107489	131723
CHEMBL2130662	95900
CHEMBL1390394	109727
CHEMBL1419730	113022
CHEMBL46730	28851
CHEMBL1620553	104211
CHEMBL105432	49044
CHEMBL1624688	95359
CHEMBL430928	68531
CHEMBL3559963	95377
CHEMBL459015	70325
CHEMBL2105053	135979
CHEMBL1863716	93163
CHEMBL71358	69040
CHEMBL1500666	111183
CHEMBL1082144	69798
CHEMBL1740457	91984
CHEMBL463974	9656
CHEMBL2132103	96888
CHEMBL1973844	90405
CHEMBL1256728	82189
CHEMBL1482996	55430
CHEMBL48217	51231
CHEMBL1230958	17752
CHEMBL1230958	58260
CHEMBL215919	142838
CHEMBL358150	135535
CHEMBL454517	78304
CHEMBL1324985	112153
CHEMBL1508190	112377
CHEMBL1372579	121834
CHEMBL1910869	69449
CHEMBL9240	7438
CHEMBL1466197	120989
CHEMBL3343362	48203
CHEMBL1558466	107823
CHEMBL13573	125580
CHEMBL3561224	96930
CHEMBL3249109	31057
CHEMBL2105385	135550
CHEMBL555457	72818
CHEMBL1236282	32215
CHEMBL1393097	94045
CHEMBL1651321	70263
CHEMBL312163	74992
CHEMBL1835874	69505
CHEMBL1452239	123238
CHEMBL1388	34380
CHEMBL2359366	103753
CHEMBL1341704	114496
CHEMBL89778	156280
CHEMBL1092067	31617
