id	reversible	fast	lowerFluxBound	upperFluxBound
R_HMR_8450	true	false	FB1N1000	FB3N1000
R_HMR_8451	true	false	FB1N1000	FB3N1000
R_HMR_8452	true	false	FB1N1000	FB3N1000
R_HMR_8453	true	false	FB1N1000	FB3N1000
R_HMR_8454	true	false	FB1N1000	FB3N1000
R_HMR_8455	true	false	FB1N1000	FB3N1000
R_HMR_8456	true	false	FB1N1000	FB3N1000
R_HMR_8457	true	false	FB1N1000	FB3N1000
R_HMR_8458	true	false	FB1N1000	FB3N1000
R_HMR_8459	true	false	FB1N1000	FB3N1000
R_HMR_8460	true	false	FB1N1000	FB3N1000
R_HMR_8461	true	false	FB1N1000	FB3N1000
R_HMR_8462	true	false	FB1N1000	FB3N1000
R_HMR_8463	true	false	FB1N1000	FB3N1000
R_HMR_8464	true	false	FB1N1000	FB3N1000
R_HMR_8465	true	false	FB1N1000	FB3N1000
R_HMR_8466	true	false	FB1N1000	FB3N1000
R_HMR_8467	true	false	FB1N1000	FB3N1000
R_HMR_8468	true	false	FB1N1000	FB3N1000
R_HMR_8469	true	false	FB1N1000	FB3N1000
R_HMR_8470	true	false	FB1N1000	FB3N1000
R_HMR_8471	true	false	FB1N1000	FB3N1000
R_HMR_8472	true	false	FB1N1000	FB3N1000
R_HMR_8473	false	false	FB2N0	FB3N1000
R_HMR_8474	false	false	FB2N0	FB3N1000
R_HMR_8477	true	false	FB1N1000	FB3N1000
R_HMR_8478	true	false	FB1N1000	FB3N1000
R_HMR_8479	true	false	FB1N1000	FB3N1000
R_HMR_8480	false	false	FB2N0	FB3N1000
R_HMR_8481	true	false	FB1N1000	FB3N1000
R_HMR_8482	false	false	FB2N0	FB3N1000
R_HMR_8483	false	false	FB2N0	FB3N1000
R_HMR_8484	false	false	FB2N0	FB3N1000
R_HMR_8485	false	false	FB2N0	FB3N1000
R_HMR_8486	true	false	FB1N1000	FB3N1000
R_HMR_8487	false	false	FB2N0	FB3N1000
R_HMR_8488	false	false	FB2N0	FB3N1000
R_HMR_8489	false	false	FB2N0	FB3N1000
R_HMR_8493	false	false	FB2N0	FB3N1000
R_HMR_8494	false	false	FB2N0	FB3N1000
R_HMR_8495	false	false	FB2N0	FB3N1000
R_HMR_3802	true	false	FB1N1000	FB3N1000
R_HMR_3804	true	false	FB1N1000	FB3N1000
R_HMR_3811	false	false	FB2N0	FB3N1000
R_HMR_3813	true	false	FB1N1000	FB3N1000
R_HMR_3822	false	false	FB2N0	FB3N1000
R_HMR_3827	true	false	FB1N1000	FB3N1000
R_HMR_3829	true	false	FB1N1000	FB3N1000
R_HMR_3831	false	false	FB2N0	FB3N1000
R_HMR_3862	false	false	FB2N0	FB3N1000
R_HMR_3865	false	false	FB2N0	FB3N1000
R_HMR_3870	false	false	FB2N0	FB3N1000
R_HMR_3873	false	false	FB2N0	FB3N1000
R_HMR_8654	false	false	FB2N0	FB3N1000
R_HMR_3890	false	false	FB2N0	FB3N1000
