geneID	reactionID
ENSG00000240857	R_HMR_9804
ENSG00000111271	R_HMR_3163
ENSG00000117054	R_HMR_3163
ENSG00000122971	R_HMR_3163
ENSG00000151498	R_HMR_3163
ENSG00000177646	R_HMR_3163
ENSG00000196177	R_HMR_3163
ENSG00000240303	R_HMR_3163
ENSG00000161267	R_HMR_4461
ENSG00000164039	R_HMR_4461
ENSG00000111716	R_HMR_5351
ENSG00000151116	R_HMR_5351
ENSG00000166796	R_HMR_5351
ENSG00000166800	R_HMR_5351
ENSG00000171989	R_HMR_5351
ENSG00000101911	R_HMR_4052
ENSG00000147224	R_HMR_4052
ENSG00000229937	R_HMR_4052
ENSG00000158019	R_HMR_4350
ENSG00000171174	R_HMR_4350
ENSG00000079739	R_HMR_4354
ENSG00000169299	R_HMR_4354
ENSG00000007350	R_HMR_4404
ENSG00000151005	R_HMR_4404
ENSG00000163931	R_HMR_4404
ENSG00000130066	R_HMR_4476
ENSG00000141504	R_HMR_4476
ENSG00000197713	R_HMR_4477
ENSG00000235376	R_HMR_4477
ENSG00000007350	R_HMR_4501
ENSG00000151005	R_HMR_4501
ENSG00000163931	R_HMR_4501
ENSG00000067057	R_HMR_4567
ENSG00000141959	R_HMR_4567
ENSG00000152556	R_HMR_4567
ENSG00000067057	R_HMR_4568
ENSG00000141959	R_HMR_4568
ENSG00000152556	R_HMR_4568
ENSG00000049239	R_HMR_4623
ENSG00000130313	R_HMR_4623
ENSG00000049239	R_HMR_4625
ENSG00000130313	R_HMR_4625
ENSG00000169299	R_HMR_4710
ENSG00000180953	R_HMR_4710
ENSG00000006534	R_HMR_4841
ENSG00000108602	R_HMR_4841
ENSG00000132746	R_HMR_4841
ENSG00000184254	R_HMR_4841
ENSG00000158019	R_HMR_8074
ENSG00000171174	R_HMR_8074
ENSG00000049239	R_HMR_8653
ENSG00000130313	R_HMR_8653
ENSG00000054179	R_HMR_3998
ENSG00000138185	R_HMR_3998
ENSG00000168032	R_HMR_3998
ENSG00000171302	R_HMR_3998
ENSG00000187097	R_HMR_3998
ENSG00000188833	R_HMR_3998
ENSG00000197217	R_HMR_3998
ENSG00000197586	R_HMR_3998
ENSG00000070019	R_HMR_4000
ENSG00000078295	R_HMR_4000
ENSG00000101890	R_HMR_4000
ENSG00000121281	R_HMR_4000
ENSG00000129467	R_HMR_4000
ENSG00000132518	R_HMR_4000
ENSG00000138031	R_HMR_4000
ENSG00000143199	R_HMR_4000
ENSG00000152402	R_HMR_4000
ENSG00000155897	R_HMR_4000
ENSG00000159899	R_HMR_4000
ENSG00000162104	R_HMR_4000
ENSG00000164742	R_HMR_4000
ENSG00000169418	R_HMR_4000
ENSG00000173175	R_HMR_4000
ENSG00000174233	R_HMR_4000
ENSG00000004455	R_HMR_4002
ENSG00000085231	R_HMR_4002
ENSG00000106992	R_HMR_4002
ENSG00000140057	R_HMR_4002
ENSG00000147853	R_HMR_4002
ENSG00000154027	R_HMR_4002
ENSG00000155085	R_HMR_4002
ENSG00000162433	R_HMR_4002
ENSG00000165695	R_HMR_4002
ENSG00000273841	R_HMR_4002
ENSG00000004455	R_HMR_4004
ENSG00000085231	R_HMR_4004
ENSG00000106992	R_HMR_4004
ENSG00000140057	R_HMR_4004
ENSG00000147853	R_HMR_4004
ENSG00000154027	R_HMR_4004
ENSG00000155085	R_HMR_4004
ENSG00000162433	R_HMR_4004
ENSG00000165695	R_HMR_4004
ENSG00000273841	R_HMR_4004
ENSG00000014257	R_HMR_4010
ENSG00000076685	R_HMR_4010
ENSG00000116981	R_HMR_4010
ENSG00000122643	R_HMR_4010
ENSG00000125458	R_HMR_4010
ENSG00000135318	R_HMR_4010
ENSG00000141698	R_HMR_4010
ENSG00000146587	R_HMR_4010
ENSG00000185013	R_HMR_4010
ENSG00000205309	R_HMR_4010
ENSG00000250741	R_HMR_4010
ENSG00000014257	R_HMR_4081
ENSG00000076685	R_HMR_4081
ENSG00000116981	R_HMR_4081
ENSG00000122643	R_HMR_4081
ENSG00000125458	R_HMR_4081
ENSG00000135318	R_HMR_4081
ENSG00000141698	R_HMR_4081
ENSG00000146587	R_HMR_4081
ENSG00000185013	R_HMR_4081
ENSG00000205309	R_HMR_4081
ENSG00000250741	R_HMR_4081
ENSG00000014257	R_HMR_4082
ENSG00000076685	R_HMR_4082
ENSG00000116981	R_HMR_4082
ENSG00000122643	R_HMR_4082
ENSG00000125458	R_HMR_4082
ENSG00000135318	R_HMR_4082
ENSG00000141698	R_HMR_4082
ENSG00000146587	R_HMR_4082
ENSG00000185013	R_HMR_4082
ENSG00000205309	R_HMR_4082
ENSG00000250741	R_HMR_4082
ENSG00000156110	R_HMR_4012
ENSG00000156136	R_HMR_4012
ENSG00000065989	R_HMR_4014
ENSG00000073417	R_HMR_4014
ENSG00000095464	R_HMR_4014
ENSG00000105650	R_HMR_4014
ENSG00000112541	R_HMR_4014
ENSG00000113231	R_HMR_4014
ENSG00000113448	R_HMR_4014
